Taxon,Divergence
 GCA_004212215.1,Cyanobacteriota+Chloroflexota
 GCA_900185595.1,Cyanobacteriota+Chloroflexota
 GCA_000317435.1,Cyanobacteriota+Chloroflexota
 GCA_000317535.1,Cyanobacteriota+Chloroflexota
 GCA_000426925.1,Cyanobacteriota+Chloroflexota
 GCA_000196515.1,Cyanobacteriota+Chloroflexota
 GCA_000317695.1,Cyanobacteriota+Chloroflexota
 GCA_000332295.1,Cyanobacteriota+Chloroflexota
 GCA_000340565.3,Cyanobacteriota+Chloroflexota
 GCA_001298445.1,Cyanobacteriota+Chloroflexota
 GCA_000020025.1,Cyanobacteriota+Chloroflexota
 GCA_000582685.1,Cyanobacteriota+Chloroflexota
 GCA_000952155.1,Cyanobacteriota+Chloroflexota
 GCA_000317125.1,Cyanobacteriota+Chloroflexota
 GCA_001890765.1,Cyanobacteriota+Chloroflexota
 GCA_000167195.1,Cyanobacteriota+Chloroflexota
 GCA_000473895.1,Cyanobacteriota+Chloroflexota
 GCA_002412335.2,Cyanobacteriota+Chloroflexota
 GCA_000332155.1,Cyanobacteriota+Chloroflexota
 GCA_000478195.2,Cyanobacteriota+Chloroflexota
 GCA_000317105.1,Cyanobacteriota+Chloroflexota
 GCA_000332315.1,Cyanobacteriota+Chloroflexota
 GCA_013361095.1,Cyanobacteriota+Chloroflexota
 GCA_000484535.1,Cyanobacteriota+Chloroflexota
 GCA_014202505.1,Cyanobacteriota+Chloroflexota
 GCA_003967515.1,Cyanobacteriota+Chloroflexota
 GCA_000178855.1,Cyanobacteriota+Chloroflexota
 GCA_001748285.1,Cyanobacteriota+Chloroflexota
 GCA_900187885.1,Cyanobacteriota+Chloroflexota
 GCA_006569185.1,Cyanobacteriota+Chloroflexota
 GCA_001306135.1,Cyanobacteriota+Chloroflexota
 GCA_000018565.1,Cyanobacteriota+Chloroflexota
 GCA_001650695.1,Cyanobacteriota+Chloroflexota
 GCA_000297255.1,Cyanobacteriota+Chloroflexota
 GCA_000025005.1,Cyanobacteriota+Chloroflexota
 GCA_004362975.1,Cyanobacteriota+Chloroflexota
 GCA_000156575.1,Cyanobacteriota+Chloroflexota
 GCA_000242235.1,Cyanobacteriota+Chloroflexota
 GCA_900107125.1,Cyanobacteriota+Chloroflexota
 GCA_000010185.1,Cyanobacteriota+Chloroflexota
 GCA_900130055.1,Cyanobacteriota+Chloroflexota
 GCA_004339095.1,Cyanobacteriota+Chloroflexota
 GCA_002005145.1,Cyanobacteriota+Chloroflexota
 GCA_900110295.1,Cyanobacteriota+Chloroflexota
 GCA_000160555.1,Cyanobacteriota+Chloroflexota
 GCA_010509575.1,Cyanobacteriota+Chloroflexota
 GCA_901447495.1,Cyanobacteriota+Chloroflexota
 GCA_000439105.1,Cyanobacteriota+Chloroflexota
 GCA_002874775.1,Cyanobacteriota+Chloroflexota
 GCA_002157465.1,Cyanobacteriota+Chloroflexota
 GCA_000426665.1,Cyanobacteriota+Chloroflexota
 GCA_003609635.1,Cyanobacteriota+Chloroflexota
 GCA_004766045.1,Cyanobacteriota+Chloroflexota
 GCA_000174195.1,Cyanobacteriota+Chloroflexota
 GCA_900215725.1,Cyanobacteriota+Chloroflexota
 GCA_002270055.1,Cyanobacteriota+Chloroflexota
 GCA_001404335.1,Cyanobacteriota+Chloroflexota
 GCA_007641255.1,Cyanobacteriota+Chloroflexota
 GCA_001029285.1,Cyanobacteriota+Chloroflexota
 GCA_900187285.1,Cyanobacteriota+Chloroflexota
 GCA_900112895.1,Cyanobacteriota+Chloroflexota
 GCA_002735305.1,Cyanobacteriota+Chloroflexota
 GCA_004340975.1,Cyanobacteriota+Chloroflexota
 GCA_002933875.1,Cyanobacteriota+Chloroflexota
 GCA_000701665.1,Cyanobacteriota+Chloroflexota
 GCA_004794105.1,Cyanobacteriota+Chloroflexota
 GCA_900184265.1,Cyanobacteriota+Chloroflexota
 GCA_008831035.1,Cyanobacteriota+Chloroflexota
 GCA_000426745.1,Cyanobacteriota+Chloroflexota
 GCA_003725335.1,Cyanobacteriota+Chloroflexota
 GCA_000024225.1,Cyanobacteriota+Chloroflexota
 GCA_008124715.1,Cyanobacteriota+Chloroflexota
 GCA_001766835.1,Cyanobacteriota+Chloroflexota
 GCA_900101495.1,Cyanobacteriota+Chloroflexota
 GCA_002607855.1,Cyanobacteriota+Chloroflexota
 GCA_901447155.2,Cyanobacteriota+Chloroflexota
 GCA_900188145.1,Cyanobacteriota+Chloroflexota
 GCA_009295725.1,Cyanobacteriota+Chloroflexota
 GCA_000732725.1,Cyanobacteriota+Chloroflexota
 GCA_002995845.1,Cyanobacteriota+Chloroflexota
 GCA_900113635.1,Cyanobacteriota+Chloroflexota
 GCA_000024265.1,Cyanobacteriota+Chloroflexota
 GCA_003966955.1,Cyanobacteriota+Chloroflexota
 GCA_900105615.1,Cyanobacteriota+Chloroflexota
 GCA_000445445.1,Cyanobacteriota+Chloroflexota
 GCA_002959775.1,Cyanobacteriota+Chloroflexota
 GCA_001552785.1,Cyanobacteriota+Chloroflexota
 GCA_900461105.1,Cyanobacteriota+Chloroflexota
 GCA_900111985.1,Cyanobacteriota+Chloroflexota
 GCA_900103135.1,Cyanobacteriota+Chloroflexota
 GCA_001553115.1,Cyanobacteriota+Chloroflexota
 GCA_004340685.1,Cyanobacteriota+Chloroflexota
 GCA_004339805.1,Cyanobacteriota+Chloroflexota
 GCA_002899695.1,Cyanobacteriota+Chloroflexota
 GCA_005280655.1,Cyanobacteriota+Chloroflexota
 GCA_002995785.1,Cyanobacteriota+Chloroflexota
 GCA_001544015.1,Cyanobacteriota+Chloroflexota
 GCA_000331995.1,Cyanobacteriota+Chloroflexota
 GCA_000620305.1,Cyanobacteriota+Chloroflexota
 GCA_900107815.1,Cyanobacteriota+Chloroflexota
 GCA_000526995.1,Cyanobacteriota+Chloroflexota
 GCA_900112085.1,Cyanobacteriota+Chloroflexota
 GCA_000577815.1,Cyanobacteriota+Chloroflexota
 GCA_001953175.1,Cyanobacteriota+Chloroflexota
 GCA_003991135.1,Cyanobacteriota+Chloroflexota
 GCA_900070325.1,Cyanobacteriota+Chloroflexota
 GCA_000621505.1,Cyanobacteriota+Chloroflexota
 GCA_004143605.1,Cyanobacteriota+Chloroflexota
 GCA_001592105.1,Cyanobacteriota+Chloroflexota
 GCA_004345005.1,Cyanobacteriota+Chloroflexota
 GCA_001494635.1,Cyanobacteriota+Chloroflexota
 GCA_900461125.1,Cyanobacteriota+Chloroflexota
 GCA_000312365.2,Cyanobacteriota+Chloroflexota
 GCA_004342165.1,Cyanobacteriota+Chloroflexota
 GCA_002008345.1,Cyanobacteriota+Chloroflexota
 GCA_009877435.1,Cyanobacteriota+Chloroflexota
 GCA_009877425.1,Cyanobacteriota+Chloroflexota
 GCA_002029235.1,Cyanobacteriota+Chloroflexota
 GCA_900111615.1,Cyanobacteriota+Chloroflexota
 GCA_900167605.1,Cyanobacteriota+Chloroflexota
 GCA_001513185.1,Cyanobacteriota+Chloroflexota
 GCA_001512835.1,Cyanobacteriota+Chloroflexota
 GCA_001513145.1,Cyanobacteriota+Chloroflexota
 GCA_001513125.1,Cyanobacteriota+Chloroflexota
 GCA_001512545.1,Cyanobacteriota+Chloroflexota
 GCA_001512905.1,Cyanobacteriota+Chloroflexota
 GCA_001512555.1,Cyanobacteriota+Chloroflexota
 GCA_001512505.1,Cyanobacteriota+Chloroflexota
 GCA_001512945.1,Cyanobacteriota+Chloroflexota
 GCA_001512625.1,Cyanobacteriota+Chloroflexota
 GCA_001512745.1,Cyanobacteriota+Chloroflexota
 GCA_001512765.1,Cyanobacteriota+Chloroflexota
 GCA_001512485.1,Cyanobacteriota+Chloroflexota
 GCA_001513105.1,Cyanobacteriota+Chloroflexota
 GCA_001512685.1,Cyanobacteriota+Chloroflexota
 GCA_001512665.1,Cyanobacteriota+Chloroflexota
 GCA_001513075.1,Cyanobacteriota+Chloroflexota
 GCA_900100845.1,Cyanobacteriota+Chloroflexota
 GCA_000733755.1,Cyanobacteriota+Chloroflexota
 GCA_000255115.3,Cyanobacteriota+Chloroflexota
 GCA_009696675.1,Cyanobacteriota+Chloroflexota
 GCA_000195315.1,Cyanobacteriota+Chloroflexota
 GCA_000166415.1,Cyanobacteriota+Chloroflexota
 GCA_000247605.1,Cyanobacteriota+Chloroflexota
 GCA_900176115.1,Cyanobacteriota+Chloroflexota
 GCA_900112155.1,Cyanobacteriota+Chloroflexota
 GCA_003340345.1,Cyanobacteriota+Chloroflexota
 GCA_003609645.1,Cyanobacteriota+Chloroflexota
 GCA_002207765.1,Cyanobacteriota+Chloroflexota
 GCA_900111235.1,Cyanobacteriota+Chloroflexota
 GCA_001047375.1,Cyanobacteriota+Chloroflexota
 GCA_000145275.1,Cyanobacteriota+Chloroflexota
 GCA_901482605.1,Cyanobacteriota+Chloroflexota
 GCA_001854185.1,Cyanobacteriota+Chloroflexota
 GCA_001190785.1,Cyanobacteriota+Chloroflexota
 GCA_000196455.1,Cyanobacteriota+Chloroflexota
 GCA_000022065.1,Cyanobacteriota+Chloroflexota
 GCA_900101295.1,Cyanobacteriota+Chloroflexota
 GCA_900115365.1,Cyanobacteriota+Chloroflexota
 GCA_001636845.1,Cyanobacteriota+Chloroflexota
 GCA_900129365.1,Cyanobacteriota+Chloroflexota
 GCA_014333445.1,Cyanobacteriota+Chloroflexota
 GCA_003614235.1,Cyanobacteriota+Chloroflexota
